outer_repeat,outer_fold,training_domain,evaluation_mode,relation,selected_c,inner_validation_macro_f1,accuracy,balanced_accuracy,macro_f1,fit_samples,evaluation_samples
3,2,XPL,PPL,cross_domain,1.0,0.6707871505859123,0.5333333333333333,0.5357142857142857,0.5249153020892152,118,30
3,3,XPL,PPL,cross_domain,1.0,0.6393067673640429,0.43333333333333335,0.45535714285714285,0.3663967611336032,118,30
3,4,XPL,PPL,cross_domain,10.0,0.705573854486898,0.5517241379310345,0.5535714285714285,0.5444444444444444,119,29
3,5,XPL,PPL,cross_domain,0.1,0.7107759007493156,0.5517241379310345,0.5491071428571429,0.5339635854341737,119,29
4,1,XPL,PPL,cross_domain,1.0,0.6567290601144417,0.5,0.49107142857142855,0.4612938596491228,118,30
4,2,XPL,PPL,cross_domain,10.0,0.6670764154308374,0.6333333333333333,0.625,0.6005723443223443,118,30
4,3,XPL,PPL,cross_domain,10.0,0.6911825466265835,0.5666666666666667,0.5758928571428571,0.5665106951871658,118,30
4,4,XPL,PPL,cross_domain,10.0,0.7213007265638844,0.5517241379310345,0.5580357142857142,0.5512605042016807,119,29
4,5,XPL,PPL,cross_domain,0.1,0.6746662731384768,0.5172413793103449,0.5133928571428571,0.5178571428571428,119,29
5,1,XPL,PPL,cross_domain,1.0,0.6709256915442134,0.5666666666666667,0.5491071428571429,0.5162366701066392,118,30
5,2,XPL,PPL,cross_domain,10.0,0.6612329620843552,0.5,0.5089285714285714,0.5018977732793523,118,30
5,3,XPL,PPL,cross_domain,100.0,0.7509136395005959,0.4666666666666667,0.48660714285714285,0.41868686868686866,118,30
5,4,XPL,PPL,cross_domain,10.0,0.7174430338323528,0.5862068965517241,0.5892857142857143,0.5935836093730831,119,29
5,5,XPL,PPL,cross_domain,10.0,0.697081317375435,0.6206896551724138,0.6205357142857142,0.6180595720069404,119,29
1,1,XPL,XPL,within_domain,10.0,0.6479028943130775,0.8,0.7946428571428572,0.8020833333333334,118,30
1,2,XPL,XPL,within_domain,10.0,0.6401363547984896,0.7666666666666667,0.7633928571428572,0.7484959893048129,118,30
1,3,XPL,XPL,within_domain,10.0,0.731256222931583,0.6333333333333333,0.6383928571428572,0.6451465201465202,118,30
1,4,XPL,XPL,within_domain,1.0,0.6669599764414005,0.7931034482758621,0.8035714285714286,0.7926564856711915,119,29
1,5,XPL,XPL,within_domain,0.1,0.7254705130324325,0.6206896551724138,0.6116071428571428,0.5953216374269006,119,29
2,1,XPL,XPL,within_domain,1.0,0.7097139856797954,0.6666666666666666,0.6607142857142857,0.6477949295286757,118,30
2,2,XPL,XPL,within_domain,0.1,0.6889554168006854,0.5333333333333333,0.5446428571428571,0.5265293916609706,118,30
2,3,XPL,XPL,within_domain,1.0,0.7119189089777326,0.6333333333333333,0.6517857142857143,0.6017045454545454,118,30
2,4,XPL,XPL,within_domain,10.0,0.722207905999466,0.7586206896551724,0.7678571428571429,0.7589285714285714,119,29
2,5,XPL,XPL,within_domain,0.1,0.6525173413331308,0.7931034482758621,0.7946428571428571,0.7905483405483406,119,29
3,1,XPL,XPL,within_domain,100.0,0.6796430139099071,0.6666666666666666,0.65625,0.5812693498452013,118,30
3,2,XPL,XPL,within_domain,1.0,0.6707871505859123,0.7,0.7008928571428572,0.7042124542124542,118,30
3,3,XPL,XPL,within_domain,1.0,0.6393067673640429,0.7666666666666667,0.7767857142857143,0.768154761904762,118,30
3,4,XPL,XPL,within_domain,10.0,0.705573854486898,0.6896551724137931,0.6875,0.6871794871794871,119,29
3,5,XPL,XPL,within_domain,0.1,0.7107759007493156,0.6551724137931034,0.6428571428571428,0.6388888888888888,119,29
4,1,XPL,XPL,within_domain,1.0,0.6567290601144417,0.8666666666666667,0.8660714285714286,0.8638655462184873,118,30
4,2,XPL,XPL,within_domain,10.0,0.6670764154308374,0.6666666666666666,0.6741071428571429,0.6724709114414996,118,30
4,3,XPL,XPL,within_domain,10.0,0.6911825466265835,0.5333333333333333,0.5357142857142857,0.532318988201341,118,30
4,4,XPL,XPL,within_domain,10.0,0.7213007265638844,0.6896551724137931,0.7008928571428572,0.6858974358974359,119,29
4,5,XPL,XPL,within_domain,0.1,0.6746662731384768,0.7241379310344828,0.71875,0.7172268907563025,119,29
5,1,XPL,XPL,within_domain,1.0,0.6709256915442134,0.8333333333333334,0.8258928571428571,0.822473604826546,118,30
5,2,XPL,XPL,within_domain,10.0,0.6612329620843552,0.6666666666666666,0.6785714285714286,0.6782822440717178,118,30
5,3,XPL,XPL,within_domain,100.0,0.7509136395005959,0.5666666666666667,0.5803571428571428,0.5678571428571428,118,30
5,4,XPL,XPL,within_domain,10.0,0.7174430338323528,0.7241379310344828,0.7321428571428572,0.7231738849385909,119,29
5,5,XPL,XPL,within_domain,10.0,0.697081317375435,0.7241379310344828,0.7232142857142858,0.7261904761904762,119,29
